#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-6.73695395695963,83.76161102294138,77.02465706598176,411.19160332498683
20,-7.030121303808583,84.04145386322712,77.01133255941853,412.5653713885523
30,-7.360538564598334,84.20851777448956,76.84797920989124,413.38549980646127
40,-7.684507392462042,84.67254920688295,76.98804181442091,415.6634625431947
50,-7.864652178286275,84.81301224496885,76.94836006668257,416.3530054153181
60,-7.492679921840192,84.27550738632826,76.78282746448807,413.7143564934527
70,-5.650178470489125,82.56353618795605,76.91335771746692,405.31017021637564
80,-1.8846901055669127,78.96642645104107,77.08173634547416,387.65170708518207
90,-0.16950607889365463,77.35553551831313,77.18602943941947,379.7437308975146
100,-2.914643730844496,80.07060507213158,77.15596134128708,393.0721971165764
110,-4.971746061282266,82.12532864470408,77.15358258342182,403.15897875648926
120,-5.076054236371646,82.16021896079484,77.08416472442319,403.3302577569605
130,-4.730576443703726,81.84778159760666,77.11720515390293,401.7964809021578
140,-4.973261295384512,82.31305820070295,77.33979690531844,404.08055626890746
150,-5.902137297079339,83.06269471435388,77.16055741727455,407.76057431290917
160,-7.0530088146647785,84.18206902779677,77.129060213132,413.25566106021785
170,-7.791500539591582,84.56440608894664,76.77290554935506,415.1325804182006
180,-7.322298317588765,84.151168148374,76.82886983078524,413.10396648320545
190,-4.67412342966238,81.51629966993109,76.84217624026871,400.1692129490994
200,-1.432825255380624,78.22406354124192,76.7912382858613,384.0073956709029
210,-2.5284300239044684,79.27666457781059,76.74823455390613,389.1746877346822
220,-4.810127020211402,81.87454533639932,77.06441831618793,401.9278659666369
230,-3.5450141224766076,80.62997675830852,77.08496263583191,395.8181918232767
240,-2.1773989480276077,79.41546417585218,77.23806522782458,389.85606466335605
250,-5.6649970713535485,82.82189729642545,77.1569002250719,406.57848295691326
260,-8.896184732095419,86.17489937109774,77.27871463900232,423.0386045113911
270,-9.966625583552828,87.10951852185556,77.14289293830274,427.62671525096476
280,-9.796839070473197,87.37002301603857,77.57318394556538,428.90555002179
