#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,-2.7964489653282874,0.645375538362133,-2.1510734269661542,3.1681936286202674
2,-2.7947807353632927,1.5375197672086947,-1.257260968154598,7.547792007596976
3,-2.7943756479420143,1.9298704451311872,-0.8645052028108271,9.473868910253591
4,-2.795784406188948,1.8316006822321287,-0.9641837239568194,8.991455775270277
5,-2.7946126063125294,2.6854234052530175,-0.10918920105951191,13.182931203531883
6,-2.7945920513858304,3.558526189241531,0.7639341378557005,17.469053798731455
7,-2.794477300746354,4.629746638031012,1.8352693372846578,22.727749858572246
8,-2.7945785621022887,5.892101145967007,3.097522583864718,28.92473637475278
9,-2.7930588941567565,5.891377008991886,3.0983181148351293,28.9211815357258
10,-2.7930315450116385,6.105396931346194,3.3123653863345552,29.971820294240775
11,-2.790591015685732,6.565864668876357,3.7752736531906255,32.232288603793684
12,-2.789067656798733,7.128156980336948,4.339089323538215,34.99262086415897
13,-2.78874929153478,6.846966814909878,4.058217523375099,33.61223868729865
14,-2.7871884550547454,6.869065258301291,4.081876803246546,33.720721490555775
15,-2.781647366140986,7.033567161659063,4.251919795518077,34.52827283258008
16,-2.7778999060779737,8.204876253094369,5.426976347016396,40.27831103521808
17,-2.7720742237853777,8.674455374365548,5.902381150580171,42.583507764427964
18,-2.767437068382607,8.640661506581965,5.873224438199358,42.41761130533672
19,-2.7642638380555526,8.041716042163927,5.277452204108374,39.47734615510186
20,-2.758681337794057,7.6949854581016695,4.936304120307613,37.77522148198258
21,-2.7521872168735437,7.473445461863788,4.721258244990244,36.68766615513104
22,-2.743278986475808,8.153698517350103,5.410419530874295,40.02707595320105
23,-2.7366162405666845,8.737231430875706,6.000615190309022,42.89167981379031
24,-2.727601978408889,8.329074500579098,5.6014725221702095,40.88800891339538
25,-2.7224130526098786,9.686253085978086,6.963840033368207,47.55049345390523
26,-2.7122453522311143,9.776251358261966,7.064006006030851,47.99230126329361
27,-2.7017868168715795,11.575497997841456,8.873711180969877,56.82492878168211
28,-2.68944329975649,11.506373786007545,8.816930486251055,56.485593194108745
29,-2.6779484861352105,12.379763974998287,9.701815488863076,60.773126680553446
30,-2.6649747461724087,13.387992721891674,10.723017975719266,65.72259207275901
31,-2.6501156418895224,15.335979071077201,12.685863429187679,75.28539322229041
32,-2.633617123160818,15.775084091551358,13.14146696839054,77.4409904605929
33,-2.61715539113191,13.89858195492304,11.28142656379113,68.22911030714614
34,-2.6044488405987747,14.313454523407545,11.70900568280877,70.26574874481868
35,-2.590262357372292,14.129032067184768,11.538769709812478,69.36040601636273
36,-2.5732423051629048,14.510429568797138,11.937187263634232,71.23271301090205
37,-2.5588783578614236,14.959485735171997,12.400607377310573,73.43716112000153
38,-2.5434841979635694,15.911404192449131,13.367919994485561,78.11019536447455
39,-2.526201687069605,15.65926441516122,13.133062728091614,76.87242357356875
