#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,760808.4046787333,81.15202332643418,760889.5567020598,271.1203720959463
20,760852.8217266877,50.30859830381088,760903.1303249915,168.07573406874943
30,760813.9314050984,80.15190051450081,760894.0833056129,267.77906700214356
40,760789.1747420958,96.39016092031935,760885.5649030161,322.02938662396286
50,760822.738462421,69.54562961435083,760892.2840920354,232.34463178871624
60,760865.3798435576,39.068920962828116,760904.4487645205,130.52515457589033
70,760816.5039829403,73.98174570216516,760890.4857286426,247.1652289234431
80,760784.7937255198,94.75587132001971,760879.5495968398,316.56939700961345
90,760847.3732327123,53.82968787326574,760901.2029205855,179.8393238736976
100,760856.2544973572,48.76185535265192,760905.0163527098,162.90822859857587
110,760807.3854422616,82.4583759335525,760889.8438181952,275.48475871765436
120,760796.1581446858,92.99887081880885,760889.1570155045,310.69944318548147
130,760816.3891823752,80.50241794423582,760896.8916003194,268.9501088576695
140,760847.9049488081,60.204247347578075,760908.1091961557,201.13605642306754
150,760805.479759339,86.22827064593199,760891.708029985,288.07958032883573
160,760788.9896209901,97.81207609771025,760886.8016970878,326.779855634851
170,760838.5845225302,68.49688792935251,760907.0814104596,228.84089615509524
180,760834.3819944953,67.48106382291675,760901.8630583182,225.44713468826086
190,760816.4669775774,75.09305710088162,760891.5600346783,250.8780033877654
200,760798.414554385,83.11111357165828,760881.5256679567,277.6654864933798
210,760817.0872734637,73.27164462909583,760890.3589180928,244.79285594659368
220,760839.8792692994,64.30372117452366,760904.1829904739,214.83196718167264
230,760817.322021,76.32040070781935,760893.6424217077,254.97842925224467
240,760819.9975876635,72.8986257557422,760892.8962134193,243.54663913526858
250,760831.4575161348,65.53800031802415,760896.9955164528,218.95556394413452
260,760815.922443603,78.94686010678328,760894.8693037098,263.7531537797851
270,760821.7203153729,72.06381836066302,760893.7841337336,240.7576354566802
280,760821.7047051209,71.8470649944,760893.5517701153,240.03348526417187
290,760820.1341206066,77.5968178317073,760897.7309384383,259.2428045739308
300,760830.1616310887,77.67898511345038,760907.8406162021,259.5173168175835
310,760819.5179352865,76.35914128107831,760895.8770765676,255.10785743168674
320,760827.9752193657,70.9667502643475,760898.9419696301,237.09244636717082
330,760812.6983592776,83.4912447318797,760896.1896040095,278.93546470686107
340,760821.2584279088,82.07190800092415,760903.3303359097,274.1936100142404
350,760827.1481964104,75.04289118320024,760902.1910875936,250.71040433464503
360,760822.1704470941,76.49373811476414,760898.6641852089,255.55753129237473
370,760823.3342439152,81.51317740772994,760904.8474213228,272.32694988527646
380,760831.9812020247,78.73806897707084,760910.7192710018,263.0556045819018
390,760818.030182787,76.3970730096545,760894.4272557966,255.23458334614057
400,760818.8358364649,73.1128184634819,760891.9486549284,244.26223443705214
410,760801.7928085225,89.31431196232025,760891.1071204848,298.38971969082144
420,760832.5970407232,76.64719492173151,760909.2442356449,256.07021433957726
430,760845.70151631,66.62621912501947,760912.327735435,222.5911884890407
440,760826.8696634534,72.19988108063463,760899.0695445341,241.21220668922606
450,760816.4915827423,83.54605706214123,760900.0376398044,279.1185869355721
460,760804.4463916002,90.47957885765355,760894.9259704578,302.28275379279364
470,760831.740284143,69.31215816676175,760901.0524423098,231.56462824537255
480,760812.8783894053,77.49544246809822,760890.3738318734,258.90412014960657
