#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,483320.0761758369,50.73459477562224,483370.8107706125,169.49894346285748
20,483311.35502194054,54.3843524347274,483365.73937437526,181.69239981842188
30,483315.5769401947,52.041448361947225,483367.61838855664,173.865003803388
40,483333.7641624782,39.77454031759243,483373.5387027958,132.88255460339508
50,483327.7517056159,45.4999657221906,483373.2516713381,152.010598519912
60,483312.5600203844,55.01920087882626,483367.5792212632,183.8133616790555
70,483307.82357217814,60.29626033844095,483368.1198325166,201.44346214504264
80,483312.3532821865,59.15417721819284,483371.5074594047,197.62788259651273
90,483312.22747430025,58.150001599956596,483370.3774759002,194.2730375032394
100,483314.9901785699,59.35614652749393,483374.34632509743,198.30264081011148
110,483332.5520161006,46.72622303607546,483379.2782391367,156.10739519358833
120,483338.7472614001,41.35532790227901,483380.1025893024,138.16379961241842
130,483310.6746275059,62.45156192478631,483373.12618943065,208.64409799017008
140,483351.708934994,35.49431618765055,483387.20325118164,118.58277609884743
150,483304.6933715449,61.12893768509628,483365.82230923,204.22534955594497
160,483326.64830531564,50.5195180160142,483377.16782333166,168.78039463679107
170,483325.1103239406,54.82098234582696,483379.9313062864,183.1511344144695
180,483318.45993163396,57.52217131557799,483375.9821029495,192.17552257586502
190,483320.320835305,54.014734626358205,483374.33556993137,180.45754560739076
200,483330.4582516192,49.01387692957658,483379.4721285488,163.75020617240878
210,483320.0035719408,52.84839322714301,483372.85196516797,176.56092170099546
220,483323.2216014555,47.75955607544606,483370.9811575309,159.5596521632791
230,483323.2073346211,53.56233067170097,483376.7696652928,178.94611159137165
240,483318.88556571916,54.47743253052527,483373.3629982497,182.0033706257169
250,483327.8212347677,47.878882322854295,483375.70011709054,159.95830860180067
260,483313.4559587644,59.64638376992232,483373.10234253434,199.2722929018007
270,483333.2615927584,43.1548148499512,483376.41640760837,144.175696184266
280,483312.84016131464,53.99606496496939,483366.8362262796,180.39517223288743
290,483339.1326247745,40.96013271377576,483380.09275748825,136.84349406530302
300,483309.2733503242,57.95051589559911,483367.2238662198,193.60657675246222
310,483325.10901140096,49.78186982040937,483374.8908812214,166.31598962172671
320,483325.8120869938,49.53047003662831,483375.34255703044,165.476089393369
330,483322.9898638782,54.328182869733425,483377.3180467479,181.50474321126157
340,483307.74774440815,62.557984224178306,483370.3057286323,208.9996436959672
350,483341.81930530805,38.715272620466145,483380.53457792854,129.3436526706746
360,483324.0645631265,50.536821344016914,483374.6013844705,168.83820323520052
370,483316.5365659128,51.40884027878614,483367.9454061916,171.7515267529437
380,483335.01440297946,40.6627253651737,483375.67712834466,135.84988740323976
390,483318.68178165535,55.64938103932534,483374.33116269467,185.91872729532275
400,483309.56029947544,61.67748977044016,483371.2377892459,206.05800436104082
410,483315.7289258686,57.73363592790355,483373.4625617965,192.88200359788726
420,483320.7907581528,54.058176084858275,483374.84893423767,180.60267894985287
430,483301.0626195907,64.04167702798429,483365.1042966187,213.95650525721095
440,483321.0965424995,51.499995796925475,483372.59653829644,172.05606774876244
450,483317.5075442745,49.7375939613465,483367.24513823586,166.16806863476984
460,483322.9808566808,48.60200855566977,483371.58286523644,162.37419726701168
470,483307.6864046276,59.73994881799014,483367.42635344557,199.58488388360877
480,483330.93696838,47.57203422715898,483378.50900260714,158.93316139694042
490,483308.6219303545,61.531050823111094,483370.1529811776,205.56876724455523
500,483309.33954859397,62.96085312243912,483372.30040171643,210.3455863000474
